,Cleaned_English_Tweets,overall_sentiment
8405,remake gave total justice technology smoothly merged mythology applause dialogue writers actors indeed,positive
8406,witnessed matter year destoryed ji destoryed party members genes defect support left wings,positive
8408,watching adipurush lekka sogam dengithinnav entraa em luccha vfx ra idhi,neutral
8409,nd friday hate,negative
8410,eluru city th day noon show gross balaji k k d version,negative
8411,obvious movie fans common aud pause due heavy negativity groups promo lot scope movie increase d shows possible,negative
8412,city th day noon show gross balaji k k d version,negative
8413,language money tweet,neutral
8417,animation cartoon movies hanuman ji realistic present realistic movies hanuman ji cartoon,neutral
8419,collects th day lifetime week nd fri total nett,neutral
8421,successful crossed m mark north america th m grosser,positive
8423,buzz interested bashing,positive
8428,travesty happy angry caricature,negative
8429,impact asleep theatre,neutral
8431,movie eagerly waiting witness vintage cool charming screen,positive
8432,drops dead struggle lifetime st week nd friday total nett,negative
8435,probably receive money,neutral
8436,video sita trolled netizens wearing shorts public,neutral
8438,thread salaar vs project bigger prabhas mania biggest comeback indian cinema,neutral
8439,experience epic saga unfold book tickets grand spectacle adipurush extraordinary cinematic marvel miss seats reserved today link bio,positive
8442,manages stop rot friday,negative
8443,jaani dushmans year record worst hindi film broken prabhas enrol acting school om raut world forgive ramayana kriti sanon saif ali khan feel guys,negative
8445,whats worst movie humiliate hindus dharma lord shree ram chandra shree ram ran away demon felt pain watched movie demon touch shree ram,negative
8448,kgf smallest part narration gave yash antey salaar gurinche,neutral
8449,exist hinduism scripture describes prabhu shriram adipurush adam christianity called adipurush,neutral
8451,prabhas make potential conflicts projects,negative
8455,movies shows till pm s s s s s,neutral
8456,gajuwaka town st week top grossers,neutral
8462,movies shows till pm s s t s t s t s,neutral
8463,movies shows till pm s s s s t s,neutral
8465,movies shows till pm s s s s s,neutral
8467,day tracked collection india till pm gross lakh shows hourly live report,negative
8469,kriti sanon mercilessly trolled choice outfit release recent film,neutral
8474,usa advance sales day k shows locs weekend rebound significant returns sunday,neutral
8476,top ten hindi nett h days days,neutral
8477,bangalore hindi version bookings terrific rampage mode,positive
8478,nizam crs loss rights crs inko disasters padda range time record,negative
8482,desh videsh charcha,neutral
8484,colourful provoking motivating woman centric short movie loved ladys confidence dkpvanku adipurush makers learn give quality content,positive
8487,number giving expensive disasters saaho touted biggest action film india disaster radhe shyam expensive romantic film disaster expensive film india budget nett bo disaster,negative
8488,finally time catchup fracas disastrous movie im amazed tide criticism naysayers criticize give movie makers fair chance finally moviemakers dialogue writers,negative
8490,adipurush bounce back weekend,neutral
8491,days worldwide collections versions,neutral
8492,boycotting kashmir files banning kerala story dangerous democracy organised campeign boycott clear terms sir,negative
8493,jai shree ram days hard work special ram ram pure emotions,neutral
8494,lifting ban x adipurushx shown kathmandu screening hindi films begins,negative
8495,eluru city th day total gross total days city gross,negative
8496,film work absence emotional high points kind present abundance original epic,positive
8498,show tkne count,neutral
8499,instead movie real heads justice,positive
8500,worst depiction ramayan wait till ranbir kapoor casted shri ram chhapri version legally charged insulting hindu religion,negative
8504,resign making mockery religion,negative
8507,played tv show caught actor mince words expressed utmost displeasure makers starring lord ram faltered depiction mythological epic,neutral
8508,day nd saturday box office expectation,neutral
8509,poorly written lagi,neutral
8510,praseedha kid watching barre mama performance,neutral
8511,prabhas fans priyamithunam lyrics version,neutral
8514,days worldwide collections telugu version,neutral
8515,defamed divinity holy book god holy book shame,positive
8517,predvd review th time aa movie classic acchi ban padi positive tweet,neutral
8519,star snapped office ubercoon oo,neutral
8520,adipurush losses impacts pawan kalyans business deets inside,negative
8521,movie flaws instead converted fans mental health satisfaction accept fact portrayed characters badly question make question,neutral
8524,adipurush rip beleive handles jai shree ram prabhas deserve films karma om raut manoj muntashir,neutral
8525,adipurush antim faisla saturday sunday days movie fails forgot worldwide biggest flop logo sentiments hurt movie flop hogayi paar phir faida rights sell wajah,negative
8530,show time,neutral
8531,bhootjis reaction watching,neutral
8533,made inr th day release makers,neutral
8539,zooms past m usa box office holds record number movies m club south india grossers os tier twood actors rrr os ante okkate kaadhura lappe,neutral
8540,lowest business equal hit business hindi film tseries,negative
8541,ur highest dusted days ago,neutral
8544,beautifully shown ravan bhaktidemonish nature shot sita mata birth puran travelled samudra lanka prithvi creativity level,positive
8545,past crore mark globally week india crore overseas crore total crore,neutral
8546,adipurush days total world wide collections,neutral
8547,wrong freedom imagining storiesanyway films definitely wrong setting false expectationsbetter luck time,positive
8548,trolls fans prabhas reaction larger leo wholesale negitivity limits leo dog,neutral
8549,row nepal resumed screening hindi movies om rauts adaptation,neutral
8550,gajuwaka town st week top grossers continuation,neutral
8554,shame insulting hindu sentiments gods film shame ban kind vulgar movies,negative
8556,aithe okka critic ayina failed antar gani hindi fail ani anaru hindi critics telusu aa rendu hindi profits ani vallu rating ichina kuda hit ayyindani kadupu manta anthe,negative
8557,run end ika repatitho minimal bookings today alsoo end final run kannada hindi run st weekend telugu run hope weekend,positive
8559,released teaser release vfx concerning choices decisions storytelling major lacks dumb humiliation culture,negative
8560,top hindi movie totals,neutral
8563,work experience vfx start,neutral
8564,south indianmalayalam film industry brutally insulted vulgar director vulgarnudity sexually obscene film,negative
8566,threedecade hiatus neighbourhood jampk received digital movie theatre lg sinha complimented districts residents local government stakeholders revival movie culture,positive
8568,jealousy dogs bark tweets stating fake tweet bark staying flop tweet collection bark stating ssr directors consider heroes,negative
8569,biggest point prabhas kriti sanon scenes handled wonderfully bondom raut song visuals,positive
8571,choas created needed,neutral
8573,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8574,gajendra chauhan portrayed yudhisthir legendary television series mahabharat criticised film author,negative
8578,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8580,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8587,highestgrossing indian films pandemic,neutral
8589,bechara welding chlata,neutral
8592,bigger hit trip brings back chip factory remember made fun spoke making chips,positive
8594,zooms past m usa box office holds record number movies m club south india movies crossed m usa box office prabhas till date,neutral
8595,nd time late night yesterday visuals n sound felt engaging time,neutral
8596,earned estimated crore net india nd friday,neutral
8597,radheshyam official konnaru ochindi antae loss lottery expired barri nayalu dhissr lekapothe tier range veedu aptg konnadu tamilkakerala total d ays share entire south antae ikkadae loss,positive
8598,movie theater owner criticized adipurush makers seats empty,negative
8602,time film average movie om raut average director sanjay khanduri chalis film niras,neutral
8603,worst pathetic service response call support bill missing warranty check details delivering incorrect product delivered replacement,negative
8607,jan th nenokadine sep th aagadu st n rlz ayithe st loss aagadu entra puka st loss n ayithe aagadu st ela ayidira puka th day collections chusi mind dengi poddinae gudumba taagi ochi vestunav tweets chusuko inkoti ha loss anni fake,negative
8608,min boring th time watching,negative
8611,tamil dalmost housefull show chennai,neutral
8614,kannada dubbed highest collection movies list running highest day collection movie kannada,neutral
8615,sharing sentiments dialogues actor playing role shows vighnaharta ganesha film disappointing experience watch,neutral
8618,opened twitter hatred tfi tier hero fans tamil nadu hero fans achieved parallel heros waiting back anna,positive
8619,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8622,c bheemla days ww c agnbnvs closing ww c,neutral
8624,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8625,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8626,jhukta shir movie flop adipurush movies box office collection day crores halls empty shows cancelled guess denigrating hindu culture itihasha greedy pockets,negative
8627,indian excited s,neutral
8628,telugu d fast filling chennai,neutral
8629,loop morning,neutral
8630,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8631,mukesh khanna fire uorfi javed amid widespread criticism movie,negative
8632,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8633,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8639,adipurush day box office collection,neutral
8640,manager youd promotion,neutral
8641,show time,neutral
8642,girls crying losing online fraud boys wasting fun,negative
8643,crossed million mark north american box office,neutral
8645,gutterwood making anti hindu movies hero industry years abt waah convince bewakuf hindu work charsi gardulas,positive
8646,silver screen calling curated exciting lineup movies leave spellbound book tickets,positive
8648,ww box office posts single digit figure day nd week week week day total days deciding factor film,neutral
8649,manoj muntashir shayad direct big boss house dikhega,neutral
8653,shows house full weekend family plans oora mass,neutral
8654,ww box office posts single digit figure day nd week week week day total days deciding factor film,neutral
8655,sharing sentiments dialogues actor playing role shows vighnaharta ganesha film disappointing experience watch,neutral
8657,crosses m mark usacan box office,neutral
8658,dress ppl outraged sitamaas dress personal attack,negative
8660,top hindi films domestic,neutral
8662,show collections,neutral
8667,crosses m mark usacan box office,neutral
8668,proud speak truth powers moat street chhap dialogs script power,positive
8669,box office day prabhas film falls despite ticket prices,neutral
8670,kathmandu mayors nowupturned ban hindi film depicting janaki bharatputri sign intimacy complicatedness ties,negative
8671,censor board ineffective assigning correct film certification,negative
8672,anti india leftist bot tweet point time haters movie hidden agenda left political wing open profile check visible huge paid movement scapegoat,negative
8673,hindi bangalore bookings today fast filling,neutral
8676,box office collection shows cancelled starrer registers lowest business day,negative
8677,great hear young voices dissing movie makers claimed made generation ramayana underestimated intelligence knowledge supposed target audience,positive
8678,vfx guess budget vfx looked dull,negative
8679,created purpose ampthat brought back quran quran languages,neutral
8680,wondering clown manoj roaming freely slapped n trashed calling bajrangbali hanuman ji god ram bhakt n fake hindu activist disgusting politics,negative
8684,adipurush click link,neutral
8685,watched badonly dialogues poor rest film fine including vfx d,negative
8687,eluru th day gross th day gross d ays gross,negative
8689,celebrating th birthday,positive
8691,celebrating th birthday,positive
8692,crossed million mark north american box office,neutral
8696,box office collection shows cancelled starrer registers lowest business day,negative
8698,editing courtesy vfx team,positive
8699,screening hindi movies resumes nepal adipurush controversy dialogues,neutral
8702,lazy idi t audacity talk understanding,negative
8703,generation playing prince persia watching game thrones team absolute justice storytelling dim screen,positive
8704,blockbuster adhipurush crossed today,positive
8705,row reacts damage control makers starrer justify mistake sorry exclusive,negative
8708,finally gathered thoughts movie adipurush check full video youtube,neutral
8710,lowest business equal hit business hindi film tseries,negative
8711,kannada version surpassed mighty mark karnataka nd film achieve feat adipurush time record st weekend kannada dubbed mile created records wom stay top,positive
8712,recovery works movie running theatres gng watch movie money directly recovery,neutral
8715,provided year warranry product times complain guys check details delivering pls file complaint worst delivery service,negative
8716,blame manoj lyu h equally responsible h lead kr directorproducer himmat h kich kr ske bkl khaake side baith gya,neutral
8719,adipurush aiequipped artist reimagines lead actors web story,neutral
8720,adipurush box office collection day,neutral
8723,time movie released poor vfx costumes showing lack effortsthere show called shiv shakti beautifully conceptualised amazing costumes casting dialogues bg scores perfect watch,positive
8724,showtime,neutral
8726,puppets prs hand died natural death exposed reason pathetic manipulate sentiments tools achieve targeted goals principally wrong,negative
8731,top hindi films domestic,neutral
8732,scene powerful demon bashing hanuman ji hanuman gada rendered useless guys hanuman ji fought gada valiki ramayan fact hanuman ji fought rakshas preferred stay away hanuman favourite move slap ears punch temple resulted immediate death hanuman ji beaten rakshas preposterous,negative
8733,andh bakths question hated prabhu shri ram reality adipurush movie portrayed answer love prabhu shri ram read single page ramayan offended,negative
8734,chirala uv santhi sat sunday noon evening shows full,neutral
8735,vs movies ww gross prabhas projected total vijay total,negative
8738,applicable propaganda made believed lot ppl clowns r viceversa believe r,negative
8739,super movie potentially break indian cinema box office records follow,positive
8740,pov theatre th time watching prabhas,neutral
8745,day collection report news fans indian express reports adipurush shows cancelled week source indeed disaster,negative
8746,song pure joy pls add,positive
8749,dear stop sending smses promote biggest movie year delivering nos box office directorial flushed toilet janta country watch gun point,neutral
8753,box office collection day competition box office controversial epic starring continues crash box office day cinemas,negative
8754,nice planned negativity comparing bit prabhas movie slipper shot commented called bhakths appreciate,neutral
8757,peoples religious sentiments weird hurt orange bikini boycott unlimited crass,negative
8758,box office records films hindi opening ww grossers opening india hattrick grossers weeknd nett disaster talk nett films grosser hindi,negative
8759,days bo update india nett india gross overseas gross m approx worldwide total verdict disaster finish bo,negative
8763,epic bengali small satya plz support liking sharing,positive
8764,bengaluru region top show counts today,neutral
8765,marginal drop saturday sunday relief day deciding factor film,neutral
8768,today hyderbad city adipurush bokkings,neutral
8769,hindi films net weekend failed cross net lifetime,negative
8770,inspired movie writer watt laga,positive
8773,ai generated e baunnai ga animated movies setu,neutral
8774,executive director gaiety galaxy cinema hall manoj desai friday slammed makers recently released panindia magnum opus jailed,negative
8775,ahead time archaeologists future hold print version ramayanathey declare humanity died,negative
8776,kannada version grossed days,negative
8777,antey miru petina video evi anni movie leva watched gng watch tomorrow video spectacular scenes,neutral
8778,highest filling fast sold shows bengaluru city today,neutral
8780,hindi heading average lifetime business huge weekend movie faced huge negativity lifetime hindi trade producers share verdict average rd highest grosser hindi,positive
8782,morning pull raos,neutral
8783,single dialogue adipurush instead hanuman mahadev crores movie touch ramayan knowledge,neutral
8786,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8787,hero gave hits disaster reviews critics films r hits kind critics r insecuredampjealous tweet hindi rights figures,negative
8788,burn break ban theaters,negative
8789,rtc x roads st week top grossers disaster bommala cinema,negative
8791,tollywood actor films saaho movies cross crores worldwide share telugu version st week disaster talk man odds king indian box office ruler tfi,negative
8796,asaram bapu fan targeted prabhas kriti sanon work actors butthurt selectively targets ranbir kapoor alia bhatt objectively actors craft doglapanti limit,neutral
8800,learn fanmade poster agla movies pan indian release movie poster laga bus movie,neutral
8801,th day gross ww pan india star ra luchas,negative
8804,day box office collection,neutral
8807,series photographs ai artist presented alternate versions kirti sanon saif ali khan prabhas sunny singh depicting characters ramayana different universe,positive
8808,makers made error junta spoke makers accepted mistake move lot making movie dialogues actors support staff puts tons effort lord ram surely forgive,positive
8809,adipurush ban prabhaskritis film lifted nepal court kathmandu mayor vows release read,negative
8810,nak chala nachindi full ga enjoy chesa day malli velthunna today tomorrow fam,positive
8811,d ays crs gross ww believe pan india parag queen star fake posters propaganda epic biggest disaster pre biz ww days share ww loss crs huge disaster ramayanam sympathy d showssolo rlzhigh ticket rates means loss,negative
8813,bengaluru region top show counts today,neutral
8815,chennai tamil hindi version advance fast fillings today,neutral
8818,talking spell bounding scenes movie typical indian mentality hating mentality ramayan carrying bow fun movie prabhu ram watch d,neutral
8821,greatest glory living lies failing rising time fail morning,negative
8822,comment gundu swamy supporting rapist asharam minor girl currently preaching morality wrestlers case consider suitable preach hinduism changing words exposed fyi support,neutral
8825,box office collection day prabhas film revival,neutral
8826,half baked comeback rebel star prabhas excellent half half,positive
8829,siya ram actor lashes team youve made mistake accept gracefully apologise,positive
8830,played vibhishans wife film,neutral
8831,reel reality watching,neutral
8832,perfect lyrics,positive
8833,hv deliberately allowed tht impact pro hindu work latterthis logic explain fiasco saviour valued emergency cud masterstroke,negative
8835,rtc x roads st week top grossers rrr kgf pushpa,neutral
8836,amb st week crs gross time rrr record ra luchas high budget ramayanam sympathy d shows st week telugu version lak gross high ticket rates amb ra bachas,negative
8838,sympathies illogical arguments meets eye,negative
8839,biggest oppurtunity wasted large scale worst movie earned days due playing role sri ram imagine amount movie made sky limit,negative
8842,box office collection prabhasstarrer takes dive collects day,neutral
8843,difference religional base movie ramayan base movies world class vfx,neutral
8844,jai shree ram song make exceptionally great,positive
8845,nitesh tiwaris release date cast,neutral
8846,big slap librandus eat india singcry countriesthese guys send parents oldage homeburnol teleprompter white house congress,neutral
8848,expect criticism backlash downfall bollywood movie recent time movie earned criticism boxoffice based ramayana,negative
8851,show movie dehradun watch flash,neutral
8854,adipurush movie days share telugu states,neutral
8858,rtc x roads st week top grossers,neutral
8866,watch today watch ramayana inspired writer watch lets great movie,positive
8867,talking film despicable attempt defame epic children lose respect consider epic source entertainment easily run agenda convert,positive
8868,ww box office posts single digit figure day nd week week week day total days deciding factor film,neutral
8871,paid haters trolling movie watch scene karma hit bastards,negative
8872,instead watching movie listen podcast hinduism modern times educate learn share share,positive
8873,purana video shayad bhool bhulaiya time latest comment producer made budget,neutral
8874,song offline craze movie add chey ra bhaii,negative
8875,rtc x roads st week top grossers,neutral
8876,regret knew song mitti work film thrice poor pity,negative
8878,watch theatre,neutral
8882,celebrate theatre watch adipurush theatre friends family,positive
8883,today st show potunna,neutral
8886,paid pr bots licking parhetic movie desperate paid pr tweets army shows genuine drop business mega flop movie exposing losers movie tanked box office,negative
8887,song mind blowing,neutral
8894,waste money crap called literally spoils mood taste worst made movie mockery hinduism hindus,negative
8895,bhimavaram th day gross d ays gross,negative
8896,bommala cinema disaster talkampindia wide troll ayina movie thone indian box office ramp adinchadu ade strong zone ayina mass genre vaste southnorth yenti ww box office ni peekata adestadu,negative
8899,year top grosser movies,neutral
8900,bots paid pr accounts twitting shitty movie indians discarded trash gutterchaap movie watch mins called movie making,negative
8901,decent occupancies expecting huge walkins india considering weekend lets celebrate weekend celebrating god celebrating hero screen,positive
8902,bhimavaram town th day town gross days total town gross,negative
8903,lifetime expected play peoples feelings bakchodi makers media,neutral
8904,addwith massive paid negativity low critics scores,negative
8905,guy muslim heart cover blown thinks playing tricks trick hindus time change shukla shukur ali manoj muntasir sukur ali wah scene,neutral
8906,decent occupancies expecting huge walkins india considering weekend lets celebrate weekend celebrating god celebrating hero screen,positive
8908,shree ram hanuman,neutral
8909,bhimavaram town th day gross theatres total dasy town gross,negative
8911,watched decently created modern version ramayan issues n,neutral
8912,subscribe youtube channel,neutral
8913,saved k collection booking,positive
8915,bhimavaram town day gross theatres total town gross,negative
8917,howmuchsoever excuse forgive gang sexualising wife vibhishan unnecessary destroyed sanctity epic,negative
8922,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual sacred read book living,positive
8923,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual sacred read book living,positive
8924,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual sacred read book living,positive
8925,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual sacred read book living,positive
8931,movies shows till am s s s s s,neutral
8933,movies shows till am s s s s s,neutral
8934,movies shows till am s s t s t s t s,neutral
8936,adipurush publics reaction,neutral
8937,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir sacred read book living,positive
8938,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual knowledge earth sacred read book living,positive
8939,salvation attained taking refuge spiritual leader sant rampal ji maharaj worship eternal god kabir spiritual knowledge earth sacred read book living,positive
8941,movie based god vishnu,neutral
8945,anni hit talks vachina edi pull cheyalekapoyav antha body penchi em labham anna,neutral
8947,zooms past m usa box office holds record number movies m club south india pan world star reason top south actors m club usa box office prabhas rajinikanth mahesh babu,neutral
8950,manoj muntasir bharat ratna unite countrymen castes religions communities coming forward abuse adipuruash,negative
8952,earn money snapchat watch till end,neutral
8953,plz rt love man named hes blessed character handsome features relaxed spirit loves family friends fans entertain send love praise jai prabhas anna,positive
8959,jai shree ram rrr movie theatre response,neutral
8960,day babies told superman g d powers strongest universe save innocent fight evls win,positive
8961,khan actor films collect crores net hindi rare feet indeed,neutral
8962,actual definition freedom despite support received struggling sell unity business survive cater customer fool,neutral
8963,elon forget drama temu app cash rewards,neutral
8964,watching adipurush movie,neutral
8965,lifted ban movies line film mentions sita daughter india caused controversy nepal,negative
8966,versions ramayan s unknown local versions valimiki wrote fictional story tulsi das poets upped ram god ramayan mythology story stiff google confirm,neutral
8967,taran negative opinion release taranadarsh cave men era write review st century movies,negative
8969,lets support talented background telugu famous producer son tamil wigpathy vj biggest super star christan fans alive backstabbed sorry lokesh time,positive
8971,week numbers lower expected,negative
8972,latest review angry rantman collection,negative
8973,watching brings memories back tough recreate great mix story telling s younger generations loved totally,positive
8974,anna love paina entha negative chustha vunti fans ga control chesko lekapothanamdhf vachai movies full negative vastundi fans kosam intha kastapathandu range ento chupichaliproud fan,negative
8982,film director facing big loss film flop gayee haath heroine kriti nikal gayee,neutral
8984,toxic fanbase showing collection past movies telling budgets huge losses made working,negative
8987,determined learn archery watching turns harder im expert shooting arrows target prabhas tips,neutral
8988,uae journalist hamad al reyami angry reaction adipurush makers movie link,negative
8989,wow explained,positive
8991,decent movie despite paidunpaid negativity focused visuals tactics bit soul character development desired script dialogues characters dialogues short preachy,positive
8992,questions makers films entertainment worldwide numbers,positive
8994,disaster talk crores telugu impossible feat achieved stardom fandom unparalleled,negative
8995,hurted,neutral
8997,youtube trivialising gods comparing likes marvel heros crime,neutral
8999,hindu raam bhakt listen word raam katha formram katha form ansh raam brought tears eyes raghav meet hanumaanji raghav eat shabris ber made chant jay shree raam,negative
9000,loved audiences ages audience honest feedback,positive
9005,appreciate attempt connect audience important acknowledge epic ramayan altered fact successfully employed refined language loved audiences ages,positive
9007,hindi wk fri sat sun mon tue wed thu total nett,neutral
9008,yo fake historian nepal colonized facts straight youre stop ruining rest hike,negative
9011,manoj muntashir school whataboutery admission,neutral
9013,movie lagao chtyapa h tumne manoj mentioned interview tht leave ur shoes writing movie afraid ur brain,negative
9016,move blew away chilling brilliance,positive
9020,expected increases weekend,neutral
9021,means dump th std boy bollywood made big fool n destroyed khans,negative
9024,thankyou role played actors series created real picture ramayans ji captured peoples mind forever,positive
9031,watch review explained adipurush movie review hg amogh lila prabhu,neutral
9033,whats point subscription rented hope starts tweeting,positive
9035,detailed reviewmaybe thoughts thammudu aa guest role ani chusa ledenti annaadu pls stop edits,negative
9036,dhinchak poojas songs ravanas appearance adipurush,neutral
9037,surprised th sundaygtgtgt nd sunday,neutral
9038,runways gen ai video tool create ravan turned adipurushs ai nails ravans entire team shouldve ai ideation waste thoughts,negative
9041,hrithik roshan declined offers flicks based ramayan deets inside,neutral
9042,positives reviews,positive
9044,succinct reason failed card money bhakti khan playing pivotal roles bhakti,negative
9047,days worldwide collections till friday,neutral
9049,katappa killed bahubali travelled future watched oo,negative
9050,growth hormon deficiency greatest player incredible story lionel messi happy th birthday leo messi,positive
9051,ji request pm film strict action associated film declare ji pm candidate elections,neutral
9053,top movies indian boxoffice jun full friday chart,neutral
9054,crores budget crores ott satellite music crores box office gross worldwide till calculation,negative
9055,collection occupancy shows full houses cinemas cities,neutral
9056,vfx work marvel kuda waste greatest future,positive
9057,announcement charche record todegi film banana sikho phir record baat film bahubali b stardom,neutral
9059,collection occupancy shows full houses cinemas cities,neutral
9060,ji request pm film strict action associated film declare ji pm candidate elections,neutral
9061,problem skullinsects ramayana originally ram fight demons wild problem lanka shown black land demons problem raavans head multiple personalities clumped dumb,negative
9064,lanka edited asgard black tone n spreading whats fraud boycott gang fight sense agree wrong minded ppl r planned,negative
9065,im relation slept pm daily broke reality,negative
9066,tomorrow family adhipurush share world wide share ww telugu states remaining breakeven apts share,positive
9067,kids ramayana teach ramayana shown tarnishes tarnishes beloved gods image team wasted money wasted,negative
9068,nepal resumes screening hindi movies,neutral
9070,day tracked collection india till pm eod gross shows hourly live report,negative
9071,adipurush day night occupancy hindi d,neutral
9072,give pain gave south indian movies doubt movie falls worst category rating top appreciated harsh platform hope understand,negative
9073,town th day gross k town days gross,negative
9074,nuvvu die hard fan vi itey repu sunday family ni movie tiskelly collections jai ani lestundi,negative
9076,spotted tonight mukesh chhabras office versova,neutral
9077,ji request pm film strict action associated film declare ji pm candidate elections,neutral
9078,ji request pm film strict action associated film declare ji pm candidate elections,neutral
9080,watched missed opportunity research work tonality picturisation character portrayal shesh laxman felt incompetent moments likeable,neutral
9081,fan travels watch,neutral
9082,doubt songs amazing emotions started connected listening song movie directionvfx dialogue made film super duper flop extremely moment team,positive
9085,receiving heavy criticism lost ji god hanuman ji considered ansh parmeshwar wonder dialogues entire movie cheap vfx total crap,negative
9090,audience watching,neutral
9091,watched d negative mind set enjoyed movieyes course laughed ravana walking double budget time surely reach audience expectionsbut conveyed view,positive
9092,hazaaron bhooke nangein indians white house slaves built originally whites brahmins gujaratis dine inside,neutral
9093,bcoz prabhas flop movie collect,negative
9094,comparing age low budget serial crr movie horrible,negative
9096,film makers moviehe face music,neutral
9098,pls make ur dear watch snd cherish positives,positive
9099,hullabaloo distorting tradition vfx fail understand complaining movie editing storytelling pace distortion digest found direction absolutely unbearable,negative
9101,dialogues change ticket price,neutral
9102,rebel wigs collection,negative
9104,prashanth varma hanuman release date,neutral
9106,rtc x roads st week gross excluding d charges day day day day day day day total st week gross,negative
9107,prabhas career remuneration,neutral
9108,screening hindi films resumed nepal,neutral
9109,reaction watched movies,neutral
9112,watch video youtube channel ramayan tv serials animated movies adipurush,neutral
9113,rebel star ruling box office game,negative
9115,tadepalligudem town th day total gross total days town gross,negative
9117,eluru city th day total gross total days city gross,negative
9118,town th day total gross total days town gross,negative
9119,unpaid unbiased reviews coming slowly gradually shrirama grace ppl cherish positives long run,positive
9121,spoke vfx feel reason failure lack emotional threads proper character build basically character started randomly lets dissect,negative
9124,city th day total gross total days city gross,negative
9127,friend manoj desai exhibitors reaction worth recognisable,positive
9128,favorite anymore hoped sense sita mata forget director writer mature talk,positive
9132,day gross worldwide c undachu max share c disaster,negative
9134,telugu actors worst low rated movies watch,negative
9136,found pious song ji currently,neutral
9137,postive response graduallt picking paid neg voices downmore ppl watch movie weelend,neutral
9138,watching d nd time anna,neutral
9142,made movie film ahed time release lankesh negative role made dark black shades lankesh hanumanjis dialogue offended,negative
9143,guess kartik aaryan onscreen famous films,neutral
9144,films west bengal present hindutva narrative set release assembly elections writes read,neutral
9148,worth watching,neutral
9149,doubt disagree writing dialogues culture abuse mother,negative
9151,bollywood disappoints skills stealing someones workcopypasta public rubbish movie star cast baap movie baap paisa baap izzat falooda baap pathetic,negative
9153,watching time felt nice frame execution perfect kingdom made related realted negative talk,positive
9154,intellectuals boycott read k versions ramayan,neutral
9155,time st rts darlings time st time profile visits hour common id,positive
9157,party win elections,positive
9159,ah dnt hide religious blanket dnt sanatan loseamp guys made sanatan seva movie wid dialogues actors screenplay vfx itdnt twist religious political things accept ur mistake apologize,neutral
9161,wld indian parent irked film show real superheroes country superheroes insect prefixes understandable kids era hv time read book show kids,neutral
9164,ur information action ur flop film,negative
9165,news india news,neutral
9170,release pirated version theatres vfx pixelated,neutral
9173,spent lot money online sites abo t b neutral handles likes sumit rohit jaiswal day night duty promote online audience show interest,positive
9174,manoj desai headache dharma scantily clad ppl vulgarity cinema pathan pushpa moraility topsy turvy ravans changed family movie vichitra dharmikta indeed,neutral
9175,th tym watching,neutral
9176,films south indian actor,neutral
9177,anna films collected nett hindi domestic market south actor film club date pan india superstar,neutral
9180,watching rd time today nc usa time hindi hear sharad kelkhars voice hero love movie,positive
9182,adipurush row nepal resumes screening hindi films prabhaskriti sanon starrer banned,negative
9183,eluru city day total gross total days city gross,negative
9184,weekend watch family,neutral
9188,bilingual hintel hindi direct radheyshyam kotti unte appudu consider cheyochu badluck,neutral
9189,negative batch propaganda prabhad intentionally side track salaar project reduce damage crew,negative
9192,tomorrow bookings,neutral
9195,top copied scenes adipurush,neutral
9197,yt short hard water concept visit ytb channel link bio,negative
9198,decision nepal banned adipurush india real hindurashtra secularism kills religion hinduism culture sad,negative
9201,manoj desais angry reaction film dialogue writter manoj muntashir,negative
9202,ongole st weekend share st week share svp disaster talk adipurush c budget decent talk high rates,negative
9206,ban boycott permanently antisanataniantihindu films secular bollywoodhindi secular south india states filmsmovies propaganda vulgar,negative
9207,im taking grand parents watch tomorrow,positive
9208,bangalore telugu version night shows,neutral
9209,resumes screening hindi movies,neutral
9210,collections gurinche ga,neutral
9212,communicating heart generated mind,neutral
9213,sita born nepal,neutral
9214,mom cinema hall years chance ch bit unfortunately decided watch half n hour bored felt movie cartoon movie dete topic failure,negative
